Timestamp,City,SignalStrength,CallDropRate,DataUsageMB,CustomerSatisfaction
2024-09-13 16:47:03,Houston,1.47,0.05,4168,4.94
2024-09-12 23:52:03,Phoenix,2.88,0.05,717,3.61
2024-09-11 11:05:03,New York,4.84,0.09,1141,3.09
2024-09-12 11:28:03,Los Angeles,1.4,0.15,3848,2.74
2024-09-11 22:49:03,Chicago,4.05,0.13,3358,1.75
2024-09-12 22:22:03,Houston,2.22,0.16,4573,3.49
2024-09-14 23:28:03,Phoenix,3.0,0.15,2874,4.6
2024-09-12 12:11:03,New York,3.25,0.18,1631,2.62
2024-09-15 08:58:03,Los Angeles,2.42,0.11,963,4.53
2024-09-11 11:15:03,Chicago,3.57,0.03,3195,4.75
2024-09-11 22:09:03,Houston,4.64,0.12,3570,3.97
2024-09-15 15:07:03,Phoenix,2.81,0.2,1165,2.86
2024-09-16 00:15:03,New York,4.65,0.11,3354,3.1
2024-09-13 19:31:03,Los Angeles,1.55,0.14,4077,4.18
2024-09-15 17:00:03,Chicago,1.38,0.06,3998,4.58
2024-09-15 00:01:03,Houston,1.78,0.13,1047,1.58
2024-09-14 09:34:03,Phoenix,2.72,0.0,1912,4.33
2024-09-13 07:44:03,New York,1.76,0.13,4823,4.95
2024-09-13 11:47:03,Los Angeles,1.97,0.05,734,4.15
2024-09-12 13:40:03,Chicago,1.2,0.06,530,2.68
2024-09-15 17:04:03,Houston,1.86,0.01,4505,4.25
2024-09-13 18:33:03,Phoenix,1.05,0.01,4575,4.85
2024-09-14 16:39:03,New York,3.67,0.08,2877,4.4
2024-09-14 03:43:03,Los Angeles,3.79,0.15,1318,2.29
2024-09-16 03:06:03,Chicago,1.05,0.08,882,1.05
2024-09-15 21:02:03,Houston,2.76,0.13,3967,3.02
2024-09-13 08:49:03,Phoenix,4.79,0.12,4389,1.06
2024-09-11 09:30:03,New York,4.53,0.11,3863,2.72
2024-09-13 03:11:03,Los Angeles,4.35,0.1,2052,2.69
2024-09-12 14:41:03,Chicago,4.85,0.18,4522,1.94
2024-09-15 04:38:03,Houston,1.58,0.1,1352,4.83
2024-09-14 00:42:03,Phoenix,1.8,0.14,2887,4.73
2024-09-13 19:17:03,New York,3.45,0.09,3755,1.45
2024-09-11 19:47:03,Los Angeles,4.61,0.06,2013,1.84
2024-09-13 07:38:03,Chicago,1.0,0.15,2648,2.0
2024-09-12 15:54:03,Houston,3.66,0.01,736,1.4
2024-09-11 18:36:03,Phoenix,3.35,0.04,892,2.21
2024-09-11 19:58:03,New York,1.69,0.15,2320,1.88
2024-09-15 03:31:03,Los Angeles,4.42,0.15,1351,3.25
2024-09-14 15:55:03,Chicago,1.17,0.04,4992,1.26
2024-09-14 15:59:03,Houston,1.46,0.07,4649,2.31
2024-09-11 15:06:03,Phoenix,2.02,0.11,627,1.6
2024-09-15 16:48:03,New York,3.34,0.04,2464,4.35
2024-09-14 03:24:03,Los Angeles,2.41,0.15,4656,3.53
2024-09-13 21:38:03,Chicago,1.97,0.07,2284,3.97
2024-09-16 04:41:03,Houston,1.86,0.08,829,3.12
2024-09-12 15:55:03,Phoenix,3.63,0.12,4664,4.08
2024-09-14 13:02:03,New York,2.39,0.09,2665,2.72
2024-09-12 18:35:03,Los Angeles,3.07,0.18,2697,2.71
2024-09-13 07:24:03,Chicago,3.5,0.14,3157,3.13
2024-09-13 19:20:03,Houston,2.85,0.18,3459,4.27
2024-09-13 22:13:03,Phoenix,2.53,0.15,1925,3.17
2024-09-14 15:25:03,New York,1.12,0.0,3652,2.32
2024-09-14 21:14:03,Los Angeles,1.85,0.0,1865,4.57
2024-09-14 02:06:03,Chicago,4.08,0.16,2361,3.29
2024-09-13 03:23:03,Houston,1.97,0.01,3489,1.17
2024-09-12 08:23:03,Phoenix,2.62,0.06,1587,4.11
2024-09-13 07:58:03,New York,4.98,0.15,4896,4.95
2024-09-12 08:19:03,Los Angeles,3.04,0.03,770,4.21
2024-09-15 21:18:03,Chicago,4.34,0.11,2176,2.49
2024-09-12 05:59:03,Houston,4.99,0.08,1417,4.03
2024-09-12 18:59:03,Phoenix,2.74,0.11,1107,3.0
2024-09-11 09:38:03,New York,2.57,0.1,3331,2.25
2024-09-15 07:18:03,Los Angeles,4.3,0.0,3070,2.67
2024-09-11 19:48:03,Chicago,4.56,0.08,2388,1.87
2024-09-11 14:24:03,Houston,1.97,0.05,2282,1.33
2024-09-13 12:42:03,Phoenix,1.78,0.19,3679,4.05
2024-09-12 12:28:03,New York,1.86,0.11,1055,3.82
2024-09-16 02:09:03,Los Angeles,3.24,0.03,1991,3.41
2024-09-12 00:15:03,Chicago,1.42,0.13,3478,3.41
2024-09-14 18:46:03,Houston,4.29,0.01,2384,2.43
2024-09-12 15:25:03,Phoenix,4.82,0.19,757,4.78
2024-09-15 19:46:03,New York,1.75,0.09,1954,2.88
2024-09-12 06:01:03,Los Angeles,1.57,0.15,3952,1.51
2024-09-15 22:18:03,Chicago,2.41,0.02,4229,1.93
2024-09-15 03:07:03,Houston,3.02,0.15,2945,3.18
2024-09-13 18:31:03,Phoenix,1.67,0.07,3268,1.53
2024-09-13 03:20:03,New York,2.07,0.14,1721,2.75
2024-09-15 18:14:03,Los Angeles,4.48,0.04,1470,4.33
2024-09-13 09:57:03,Chicago,2.2,0.11,1835,2.12
2024-09-12 02:53:03,Houston,1.64,0.11,3904,1.32
2024-09-14 20:16:03,Phoenix,1.1,0.12,4349,2.1
2024-09-12 12:26:03,New York,1.19,0.05,4134,3.69
2024-09-12 18:54:03,Los Angeles,4.35,0.01,3548,2.81
2024-09-13 16:11:03,Chicago,2.44,0.2,3103,4.35
2024-09-11 12:14:03,Houston,2.08,0.17,2063,3.44
2024-09-11 11:13:03,Phoenix,2.96,0.05,2513,2.94
2024-09-12 13:43:03,New York,1.28,0.15,2597,1.75
2024-09-14 12:07:03,Los Angeles,2.07,0.15,3310,3.74
2024-09-14 06:24:03,Chicago,1.22,0.01,959,1.25
2024-09-12 05:31:03,Houston,1.98,0.01,4661,2.24
2024-09-12 10:15:03,Phoenix,1.58,0.2,2488,3.72
2024-09-11 13:30:03,New York,1.93,0.03,4416,5.0
2024-09-14 08:35:03,Los Angeles,2.94,0.17,566,1.23
2024-09-13 09:54:03,Chicago,2.73,0.08,4113,4.46
2024-09-14 15:49:03,Houston,1.93,0.19,2161,3.94
2024-09-13 15:40:03,Phoenix,2.25,0.06,1919,3.33
2024-09-13 14:47:03,New York,2.47,0.0,1124,1.19
2024-09-11 10:51:03,Los Angeles,2.98,0.05,3044,4.05
2024-09-13 11:00:03,Chicago,2.99,0.15,1619,4.48
2024-09-13 14:31:03,Houston,3.58,0.12,4808,2.28
2024-09-14 00:49:03,Phoenix,3.61,0.09,4113,2.01
2024-09-13 15:55:03,New York,4.13,0.18,4009,2.37
2024-09-12 15:37:03,Los Angeles,2.34,0.2,4753,4.04
2024-09-14 22:34:03,Chicago,2.51,0.1,4302,4.64
2024-09-13 21:12:03,Houston,3.35,0.2,4270,4.73
2024-09-15 18:08:03,Phoenix,3.51,0.01,1212,4.49
2024-09-14 22:49:03,New York,4.22,0.06,2905,2.93
2024-09-13 08:39:03,Los Angeles,2.54,0.14,1905,4.86
2024-09-14 07:12:03,Chicago,2.91,0.1,2901,4.41
2024-09-15 00:04:03,Houston,2.17,0.0,2095,4.64
2024-09-15 05:26:03,Phoenix,4.52,0.08,1143,4.46
2024-09-11 22:10:03,New York,3.77,0.15,4050,3.71
2024-09-13 19:20:03,Los Angeles,4.05,0.15,1843,3.4
2024-09-13 17:30:03,Chicago,2.69,0.13,3457,1.47
2024-09-13 18:45:03,Houston,4.3,0.14,2401,2.16
2024-09-13 01:50:03,Phoenix,3.11,0.14,2122,2.24
2024-09-15 14:32:03,New York,4.17,0.16,2061,1.52
2024-09-14 12:26:03,Los Angeles,1.68,0.06,3263,1.5
2024-09-14 00:44:03,Chicago,1.73,0.2,1113,3.59
2024-09-13 21:28:03,Houston,1.15,0.02,3282,3.51
2024-09-12 13:30:03,Phoenix,2.53,0.14,3550,2.44
2024-09-12 19:53:03,New York,4.58,0.02,769,2.8
2024-09-13 06:59:03,Los Angeles,2.37,0.03,1159,4.31
2024-09-13 18:23:03,Chicago,3.85,0.12,3711,3.08
2024-09-12 05:58:03,Houston,4.53,0.0,2380,3.57
2024-09-15 05:24:03,Phoenix,1.37,0.05,4757,1.03
2024-09-13 05:08:03,New York,4.2,0.13,2539,4.58
2024-09-16 02:42:03,Los Angeles,4.47,0.08,1942,3.85
2024-09-13 07:57:03,Chicago,1.78,0.1,3844,3.03
2024-09-15 15:33:03,Houston,3.75,0.07,4561,1.41
2024-09-12 11:55:03,Phoenix,3.33,0.14,2582,3.85
2024-09-12 20:06:03,New York,2.5,0.02,2836,2.87
2024-09-13 06:06:03,Los Angeles,1.18,0.12,3415,4.47
2024-09-15 03:08:03,Chicago,1.92,0.16,4371,4.78
2024-09-11 22:49:03,Houston,1.09,0.02,3004,4.96
2024-09-12 18:21:03,Phoenix,2.94,0.19,4262,2.59
2024-09-11 15:32:03,New York,3.78,0.01,4157,2.33
2024-09-15 01:36:03,Los Angeles,1.02,0.14,4386,1.67
2024-09-11 16:23:03,Chicago,3.52,0.17,4134,4.45
2024-09-15 13:17:03,Houston,3.5,0.01,2536,3.09
2024-09-15 18:53:03,Phoenix,3.21,0.02,1844,1.81
2024-09-14 07:14:03,New York,2.43,0.0,2324,2.61
2024-09-12 10:01:03,Los Angeles,1.03,0.0,4427,1.3
2024-09-11 22:23:03,Chicago,1.16,0.19,709,1.94
2024-09-11 19:20:03,Houston,4.0,0.0,2207,4.63
2024-09-12 12:10:03,Phoenix,3.73,0.03,915,2.54
2024-09-14 16:22:03,New York,4.67,0.15,2699,2.08
2024-09-13 15:50:03,Los Angeles,4.07,0.11,4372,3.31
2024-09-12 18:25:03,Chicago,5.0,0.18,1895,2.2
